DeveloperName__c,Id,Name,NovaId__c,OW_group_company__c,OW_own_company__c,PartnerCompany__c,ProtectionPartner__c,ReferenceName__c
ITV_XPS,a26Qz000000MlRvIAK,ITV (XPS),a264J000001QGbWQAW,false,false,false,false,
MOBEUS_EQUITY_PARTNERS,a26Qz000000MlRwIAK,Mobeus Equity Partners,a264J000001QH20QAG,false,false,false,false,
OAK_NORTH,a26Qz000000MlRxIAK,Oak North,a264J000001QH3XQAW,false,false,false,false,
VANGUARD_ASSET_MANAGEMENT,a26Qz000000MlRyIAK,Vanguard Asset Management,a264J000001QH3cQAG,false,false,false,false,
UNKNOWN,a26Qz000000MlRzIAK,Unknown,a264J000001QHFtQAO,false,false,false,false,
BNY_MELLON,a26Qz000000MlS0IAK,BNY Mellon,a264J000001QHmPQAW,false,false,false,false,
WILLIS_TOWERS_WATSON_LV_EQUALS_,a26Qz000000MlS1IAK,Willis Towers Watson (LV=),a264J000001QHmtQAG,false,false,false,false,
AIG,a26Qz000000MlS2IAK,AIG,a264J000001QIcNQAW,false,false,false,true,AIG
PUNTER_SOUTHALL,a26Qz000000MlS3IAK,Punter Southall,a264J000001QIsJQAW,false,false,false,false,
VANGUARD,a26Qz000000MlS4IAK,Vanguard,a264J000001QJJ2QAO,false,false,false,false,
